,Motor Vehicle Sales: Annual: Sri Lanka
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,CEIC Data
Status,Active
Series ID,380490027
SR Code,SR196965917
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/03/2005
Last Obs. Date,12/30/2019
Last Update Time,13/03/2020
Series remarks,The International Organization of Motor Vehicle Manufacturers provides annual Motor Vehicles Sales.
Suggestions,
Mean,204.77905491698613
Variance,23023.838108639775
Standard Deviation,151.7360804444341
Skewness,1.7778127332220466
Kurtosis,3.198694251051666
Coefficient Variation,0.7409746104451223
Min,57.69230769230769
Max,671.1538461538462
Median,179.24528301886792
Sum,
Subtract,
12/04/2017,290.692307692308
12/11/2017,290.692307692308
12/18/2017,290.692307692308
12/25/2017,290.692307692308
01/01/2018,246.811320754717
01/08/2018,246.811320754717
01/15/2018,246.811320754717
01/22/2018,246.811320754717
01/29/2018,246.811320754717
02/05/2018,246.811320754717
02/12/2018,246.811320754717
02/19/2018,246.811320754717
02/26/2018,246.811320754717
03/05/2018,246.811320754717
03/12/2018,246.811320754717
03/19/2018,246.811320754717
03/26/2018,246.811320754717
04/02/2018,246.811320754717
04/09/2018,246.811320754717
04/16/2018,246.811320754717
04/23/2018,246.811320754717
04/30/2018,246.811320754717
05/07/2018,246.811320754717
05/14/2018,246.811320754717
05/21/2018,246.811320754717
05/28/2018,246.811320754717
06/04/2018,246.811320754717
06/11/2018,246.811320754717
06/18/2018,246.811320754717
06/25/2018,246.811320754717
07/02/2018,246.811320754717
07/09/2018,246.811320754717
07/16/2018,246.811320754717
07/23/2018,246.811320754717
07/30/2018,246.811320754717
08/06/2018,246.811320754717
08/13/2018,246.811320754717
08/20/2018,246.811320754717
08/27/2018,246.811320754717
09/03/2018,246.811320754717
09/10/2018,246.811320754717
09/17/2018,246.811320754717
09/24/2018,246.811320754717
10/01/2018,246.811320754717
10/08/2018,246.811320754717
10/15/2018,246.811320754717
10/22/2018,246.811320754717
10/29/2018,246.811320754717
11/05/2018,246.811320754717
11/12/2018,246.811320754717
11/19/2018,246.811320754717
11/26/2018,246.811320754717
12/03/2018,246.811320754717
12/10/2018,246.811320754717
12/17/2018,246.811320754717
12/24/2018,246.811320754717
12/31/2018,246.811320754717
01/07/2019,183.557692307692
01/14/2019,183.557692307692
01/21/2019,183.557692307692
01/28/2019,183.557692307692
02/04/2019,183.557692307692
02/11/2019,183.557692307692
