,PPI: Manufacturing: Coke & Refined Petroleum Products
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,4Q2018=100
Source,Department of Census and Statistics
Status,Active
Series ID,474725307 (LIXGVAAAAAAAFF)
SR Code,SR158229157
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/06/2014
Last Obs. Date,11/25/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,30.18248256959578
Variance,424.6357798628233
Standard Deviation,20.606692598833597
Skewness,1.4393294533994974
Kurtosis,1.0662694434707296
Coefficient Variation,0.682736834232174
Min,8.747617631999999
Max,100.8
Median,23.133102175
Sum,
Subtract,
06/29/2020,8.747617632
07/06/2020,13.405397475
07/13/2020,13.405397475
07/20/2020,13.405397475
07/27/2020,13.405397475
08/03/2020,12.990852592
08/10/2020,12.990852592
08/17/2020,12.990852592
08/24/2020,12.990852592
08/31/2020,12.990852592
09/07/2020,16.6742310225
09/14/2020,16.6742310225
09/21/2020,16.6742310225
09/28/2020,16.6742310225
10/05/2020,16.231428675
10/12/2020,16.231428675
10/19/2020,16.231428675
10/26/2020,16.231428675
11/02/2020,12.727512484
11/09/2020,12.727512484
11/16/2020,12.727512484
11/23/2020,12.727512484
11/30/2020,12.727512484
12/07/2020,16.07616032
12/14/2020,16.07616032
12/21/2020,16.07616032
12/28/2020,16.07616032
01/04/2021,17.734273005
01/11/2021,17.734273005
01/18/2021,17.734273005
01/25/2021,17.734273005
02/01/2021,21.358389645
02/08/2021,21.358389645
02/15/2021,21.358389645
02/22/2021,21.358389645
03/01/2021,17.086711716
03/08/2021,17.086711716
03/15/2021,17.086711716
03/22/2021,17.086711716
03/29/2021,17.086711716
04/05/2021,21.5238438975
04/12/2021,21.5238438975
04/19/2021,21.5238438975
04/26/2021,21.5238438975
05/03/2021,18.611506396
05/10/2021,18.611506396
05/17/2021,18.611506396
05/24/2021,18.611506396
05/31/2021,18.611506396
06/07/2021,23.77044282
06/14/2021,23.77044282
06/21/2021,23.77044282
06/28/2021,23.77044282
07/05/2021,23.40239931
07/12/2021,23.40239931
