,GDP: Goods & Services: Imports
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495106047 (LAZAAABBAAABCQ)
SR Code,SR173549797
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Goods &amp; Services: Imports {375580007} [SPLICE(GDP: Goods &amp; Services: Imports {495106047}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,73549.58534077567
Variance,676548323.6174045
Standard Deviation,26010.542547540303
Skewness,0.6242244815369514
Kurtosis,-0.4801351062655477
Coefficient Variation,0.35364635200900496
Min,31635.44236825756
Max,128081.42179788715
Median,70048.32157048384
Sum,
Subtract,
10/28/2019,90206.0031060761
11/04/2019,90206.0031060761
11/11/2019,90206.0031060761
11/18/2019,90206.0031060761
11/25/2019,90206.0031060761
12/02/2019,90206.0031060761
12/09/2019,90206.0031060761
12/16/2019,90206.0031060761
12/23/2019,90206.0031060761
12/30/2019,90206.0031060761
01/06/2020,75745.0001876262
01/13/2020,75745.0001876262
01/20/2020,75745.0001876262
01/27/2020,75745.0001876262
02/03/2020,75745.0001876262
02/10/2020,75745.0001876262
02/17/2020,75745.0001876262
02/24/2020,75745.0001876262
03/02/2020,75745.0001876262
03/09/2020,75745.0001876262
03/16/2020,75745.0001876262
03/23/2020,75745.0001876262
03/30/2020,75745.0001876262
04/06/2020,52119.2019251769
04/13/2020,52119.2019251769
04/20/2020,52119.2019251769
04/27/2020,52119.2019251769
05/04/2020,52119.2019251769
05/11/2020,52119.2019251769
05/18/2020,52119.2019251769
05/25/2020,52119.2019251769
06/01/2020,52119.2019251769
06/08/2020,52119.2019251769
06/15/2020,52119.2019251769
06/22/2020,52119.2019251769
06/29/2020,52119.2019251769
07/06/2020,64673.0330067715
07/13/2020,64673.0330067715
07/20/2020,64673.0330067715
07/27/2020,64673.0330067715
08/03/2020,64673.0330067715
08/10/2020,64673.0330067715
08/17/2020,64673.0330067715
08/24/2020,64673.0330067715
08/31/2020,64673.0330067715
09/07/2020,64673.0330067715
09/14/2020,64673.0330067715
09/21/2020,64673.0330067715
09/28/2020,64673.0330067715
10/05/2020,67810.1566356962
10/12/2020,67810.1566356962
10/19/2020,67810.1566356962
10/26/2020,67810.1566356962
11/02/2020,67810.1566356962
11/09/2020,67810.1566356962
11/16/2020,67810.1566356962
11/23/2020,67810.1566356962
11/30/2020,67810.1566356962
12/07/2020,67810.1566356962
12/14/2020,67810.1566356962
12/21/2020,67810.1566356962
12/28/2020,67810.1566356962
01/04/2021,78236.5200445323
01/11/2021,78236.5200445323
01/18/2021,78236.5200445323
01/25/2021,78236.5200445323
02/01/2021,78236.5200445323
02/08/2021,78236.5200445323
02/15/2021,78236.5200445323
02/22/2021,78236.5200445323
03/01/2021,78236.5200445323
03/08/2021,78236.5200445323
03/15/2021,78236.5200445323
03/22/2021,78236.5200445323
03/29/2021,78236.5200445323
04/05/2021,78977.4768327162
04/12/2021,78977.4768327162
04/19/2021,78977.4768327162
04/26/2021,78977.4768327162
05/03/2021,78977.4768327162
05/10/2021,78977.4768327162
05/17/2021,78977.4768327162
05/24/2021,78977.4768327162
05/31/2021,78977.4768327162
06/07/2021,78977.4768327162
06/14/2021,78977.4768327162
06/21/2021,78977.4768327162
06/28/2021,78977.4768327162
07/05/2021,79341.1427145369
07/12/2021,79341.1427145369
07/19/2021,79341.1427145369
07/26/2021,79341.1427145369
08/02/2021,79341.1427145369
08/09/2021,79341.1427145369
08/16/2021,79341.1427145369
08/23/2021,79341.1427145369
08/30/2021,79341.1427145369
09/06/2021,79341.1427145369
09/13/2021,79341.1427145369
09/20/2021,79341.1427145369
09/27/2021,79341.1427145369
10/04/2021,92776.5927863931
10/11/2021,92776.5927863931
10/18/2021,92776.5927863931
10/25/2021,92776.5927863931
11/01/2021,92776.5927863931
11/08/2021,92776.5927863931
11/15/2021,92776.5927863931
11/22/2021,92776.5927863931
11/29/2021,92776.5927863931
12/06/2021,92776.5927863931
12/13/2021,92776.5927863931
12/20/2021,92776.5927863931
12/27/2021,92776.5927863931
01/03/2022,99205.4540043646
01/10/2022,99205.4540043646
01/17/2022,99205.4540043646
01/24/2022,99205.4540043646
01/31/2022,99205.4540043646
02/07/2022,99205.4540043646
02/14/2022,99205.4540043646
02/21/2022,99205.4540043646
02/28/2022,99205.4540043646
03/07/2022,99205.4540043646
03/14/2022,99205.4540043646
03/21/2022,99205.4540043646
03/28/2022,99205.4540043646
04/04/2022,121453.208405012
04/11/2022,121453.208405012
04/18/2022,121453.208405012
04/25/2022,121453.208405012
05/02/2022,121453.208405012
05/09/2022,121453.208405012
05/16/2022,121453.208405012
05/23/2022,121453.208405012
05/30/2022,121453.208405012
06/06/2022,121453.208405012
06/13/2022,121453.208405012
06/20/2022,121453.208405012
06/27/2022,121453.208405012
07/04/2022,118705.888946688
07/11/2022,118705.888946688
07/18/2022,118705.888946688
07/25/2022,118705.888946688
08/01/2022,118705.888946688
08/08/2022,118705.888946688
08/15/2022,118705.888946688
08/22/2022,118705.888946688
08/29/2022,118705.888946688
09/05/2022,118705.888946688
09/12/2022,118705.888946688
