,Adjusted Savings: Carbon Dioxide Damage
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,USD mn
Source,World Bank
Status,Active
Series ID,268441702
SR Code,SR5444103
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/27/2021
Last Update Time,19/12/2023
Series remarks,"Cost of damage due to carbon dioxide emissions from fossil fuel use and the manufacture of cement, estimated to be US$40 per ton of CO2 (the unit damage in 2017 US dollars for CO2 emitted in 2020) times the number of tons of CO2 emitted.;World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.;;"
Suggestions,
Mean,7.512237900125779
Variance,34.175314854342695
Standard Deviation,5.845965690486277
Skewness,0.8770491442692123
Kurtosis,-0.40411583817369534
Coefficient Variation,0.7781923001118477
Min,0.8779543418867924
Max,21.227391911153845
Median,6.255040609615384
Sum,
Subtract,
11/19/2001,3.97290988566038
11/26/2001,3.97290988566038
12/03/2001,3.97290988566038
12/10/2001,3.97290988566038
12/17/2001,3.97290988566038
12/24/2001,3.97290988566038
12/31/2001,3.97290988566038
01/07/2002,4.4142301025
01/14/2002,4.4142301025
01/21/2002,4.4142301025
01/28/2002,4.4142301025
02/04/2002,4.4142301025
02/11/2002,4.4142301025
02/18/2002,4.4142301025
02/25/2002,4.4142301025
03/04/2002,4.4142301025
03/11/2002,4.4142301025
03/18/2002,4.4142301025
03/25/2002,4.4142301025
04/01/2002,4.4142301025
04/08/2002,4.4142301025
04/15/2002,4.4142301025
04/22/2002,4.4142301025
04/29/2002,4.4142301025
05/06/2002,4.4142301025
05/13/2002,4.4142301025
05/20/2002,4.4142301025
05/27/2002,4.4142301025
06/03/2002,4.4142301025
06/10/2002,4.4142301025
06/17/2002,4.4142301025
06/24/2002,4.4142301025
07/01/2002,4.4142301025
07/08/2002,4.4142301025
07/15/2002,4.4142301025
07/22/2002,4.4142301025
07/29/2002,4.4142301025
08/05/2002,4.4142301025
08/12/2002,4.4142301025
08/19/2002,4.4142301025
08/26/2002,4.4142301025
09/02/2002,4.4142301025
09/09/2002,4.4142301025
09/16/2002,4.4142301025
09/23/2002,4.4142301025
09/30/2002,4.4142301025
10/07/2002,4.4142301025
10/14/2002,4.4142301025
10/21/2002,4.4142301025
10/28/2002,4.4142301025
11/04/2002,4.4142301025
11/11/2002,4.4142301025
11/18/2002,4.4142301025
11/25/2002,4.4142301025
12/02/2002,4.4142301025
12/09/2002,4.4142301025
12/16/2002,4.4142301025
12/23/2002,4.4142301025
12/30/2002,4.4142301025
01/06/2003,5.01480525634615
01/13/2003,5.01480525634615
01/20/2003,5.01480525634615
01/27/2003,5.01480525634615
02/03/2003,5.01480525634615
02/10/2003,5.01480525634615
02/17/2003,5.01480525634615
02/24/2003,5.01480525634615
03/03/2003,5.01480525634615
03/10/2003,5.01480525634615
03/17/2003,5.01480525634615
03/24/2003,5.01480525634615
03/31/2003,5.01480525634615
04/07/2003,5.01480525634615
04/14/2003,5.01480525634615
04/21/2003,5.01480525634615
04/28/2003,5.01480525634615
05/05/2003,5.01480525634615
05/12/2003,5.01480525634615
05/19/2003,5.01480525634615
05/26/2003,5.01480525634615
06/02/2003,5.01480525634615
06/09/2003,5.01480525634615
06/16/2003,5.01480525634615
06/23/2003,5.01480525634615
06/30/2003,5.01480525634615
07/07/2003,5.01480525634615
07/14/2003,5.01480525634615
07/21/2003,5.01480525634615
07/28/2003,5.01480525634615
08/04/2003,5.01480525634615
08/11/2003,5.01480525634615
08/18/2003,5.01480525634615
08/25/2003,5.01480525634615
09/01/2003,5.01480525634615
09/08/2003,5.01480525634615
09/15/2003,5.01480525634615
09/22/2003,5.01480525634615
09/29/2003,5.01480525634615
10/06/2003,5.01480525634615
10/13/2003,5.01480525634615
10/20/2003,5.01480525634615
10/27/2003,5.01480525634615
11/03/2003,5.01480525634615
11/10/2003,5.01480525634615
11/17/2003,5.01480525634615
11/24/2003,5.01480525634615
12/01/2003,5.01480525634615
12/08/2003,5.01480525634615
12/15/2003,5.01480525634615
12/22/2003,5.01480525634615
12/29/2003,5.01480525634615
01/05/2004,5.46045282961539
01/12/2004,5.46045282961539
01/19/2004,5.46045282961539
01/26/2004,5.46045282961539
02/02/2004,5.46045282961539
02/09/2004,5.46045282961539
02/16/2004,5.46045282961539
02/23/2004,5.46045282961539
