,GDP: Gross National Income
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,505766057 (LAZAAABBAAABGF)
SR Code,SR201148097
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Gross National Income {368704357} [SPLICE(GDP: Gross National Income {505766057}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,17/12/2024
Series remarks,
Suggestions,
Mean,282952.44400477887
Variance,14855940743.513084
Standard Deviation,121884.94879809026
Skewness,0.9344360838705482
Kurtosis,-0.024069388919615964
Coefficient Variation,0.43076125115933517
Min,115148.6183682216
Max,595908.7692307692
Median,250893.23076923078
Sum,
Subtract,
09/18/2017,277844.769230769
09/25/2017,277844.769230769
10/02/2017,282270.923076923
10/09/2017,282270.923076923
10/16/2017,282270.923076923
10/23/2017,282270.923076923
10/30/2017,282270.923076923
11/06/2017,282270.923076923
11/13/2017,282270.923076923
11/20/2017,282270.923076923
11/27/2017,282270.923076923
12/04/2017,282270.923076923
12/11/2017,282270.923076923
12/18/2017,282270.923076923
12/25/2017,282270.923076923
01/01/2018,299908.769230769
01/08/2018,299908.769230769
01/15/2018,299908.769230769
01/22/2018,299908.769230769
01/29/2018,299908.769230769
02/05/2018,299908.769230769
02/12/2018,299908.769230769
02/19/2018,299908.769230769
02/26/2018,299908.769230769
03/05/2018,299908.769230769
03/12/2018,299908.769230769
03/19/2018,299908.769230769
03/26/2018,299908.769230769
04/02/2018,273149.923076923
04/09/2018,273149.923076923
04/16/2018,273149.923076923
04/23/2018,273149.923076923
04/30/2018,273149.923076923
05/07/2018,273149.923076923
05/14/2018,273149.923076923
05/21/2018,273149.923076923
05/28/2018,273149.923076923
06/04/2018,273149.923076923
06/11/2018,273149.923076923
06/18/2018,273149.923076923
06/25/2018,273149.923076923
07/02/2018,292853.615384615
07/09/2018,292853.615384615
07/16/2018,292853.615384615
