,Revenue: Tax: Taxes on International Trade: Customs and Other Import Duties as % of Tax Revenue
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,World Bank
Status,Active
Series ID,264027002
SR Code,SR5466638
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,0.35267447252536643
Variance,0.011796838434473598
Standard Deviation,0.1086132516522436
Skewness,0.19799187562005047
Kurtosis,-0.9552484848792444
Coefficient Variation,0.30797026752320866
Min,0.17025316442307695
Max,0.5684920626923077
Median,0.23640550500000002
Sum,
Subtract,
03/11/2002,0.24544623403846
03/18/2002,0.24544623403846
03/25/2002,0.24544623403846
04/01/2002,0.24544623403846
04/08/2002,0.24544623403846
04/15/2002,0.24544623403846
04/22/2002,0.24544623403846
04/29/2002,0.24544623403846
05/06/2002,0.24544623403846
05/13/2002,0.24544623403846
05/20/2002,0.24544623403846
05/27/2002,0.24544623403846
06/03/2002,0.24544623403846
06/10/2002,0.24544623403846
06/17/2002,0.24544623403846
06/24/2002,0.24544623403846
07/01/2002,0.24544623403846
07/08/2002,0.24544623403846
07/15/2002,0.24544623403846
07/22/2002,0.24544623403846
07/29/2002,0.24544623403846
08/05/2002,0.24544623403846
08/12/2002,0.24544623403846
08/19/2002,0.24544623403846
08/26/2002,0.24544623403846
09/02/2002,0.24544623403846
09/09/2002,0.24544623403846
09/16/2002,0.24544623403846
09/23/2002,0.24544623403846
09/30/2002,0.24544623403846
10/07/2002,0.24544623403846
10/14/2002,0.24544623403846
10/21/2002,0.24544623403846
10/28/2002,0.24544623403846
11/04/2002,0.24544623403846
11/11/2002,0.24544623403846
11/18/2002,0.24544623403846
11/25/2002,0.24544623403846
12/02/2002,0.24544623403846
12/09/2002,0.24544623403846
12/16/2002,0.24544623403846
12/23/2002,0.24544623403846
12/30/2002,0.24544623403846
01/06/2003,0.28378600961539
01/13/2003,0.28378600961539
01/20/2003,0.28378600961539
01/27/2003,0.28378600961539
02/03/2003,0.28378600961539
02/10/2003,0.28378600961539
02/17/2003,0.28378600961539
02/24/2003,0.28378600961539
03/03/2003,0.28378600961539
03/10/2003,0.28378600961539
03/17/2003,0.28378600961539
03/24/2003,0.28378600961539
03/31/2003,0.28378600961539
04/07/2003,0.28378600961539
04/14/2003,0.28378600961539
04/21/2003,0.28378600961539
04/28/2003,0.28378600961539
05/05/2003,0.28378600961539
05/12/2003,0.28378600961539
05/19/2003,0.28378600961539
05/26/2003,0.28378600961539
06/02/2003,0.28378600961539
06/09/2003,0.28378600961539
06/16/2003,0.28378600961539
06/23/2003,0.28378600961539
06/30/2003,0.28378600961539
07/07/2003,0.28378600961539
07/14/2003,0.28378600961539
07/21/2003,0.28378600961539
07/28/2003,0.28378600961539
08/04/2003,0.28378600961539
