,GDP: FCE: Households
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495105947 (LAZAAABBAAABCG)
SR Code,SR173549697
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: FCE: Households {375579907} [SPLICE(GDP: FCE: Households {495105947}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,185772.4610423654
Variance,7977347929.944695
Standard Deviation,89316.00041394988
Skewness,1.1986322640932057
Kurtosis,0.400815673896608
Coefficient Variation,0.4807817042030862
Min,81078.58747649682
Max,404535.3781118908
Median,157350.83264298152
Sum,
Subtract,
07/18/2016,156329.658122102
07/25/2016,156329.658122102
08/01/2016,156329.658122102
08/08/2016,156329.658122102
08/15/2016,156329.658122102
08/22/2016,156329.658122102
08/29/2016,156329.658122102
09/05/2016,156329.658122102
09/12/2016,156329.658122102
09/19/2016,156329.658122102
09/26/2016,156329.658122102
10/03/2016,148551.190414812
10/10/2016,148551.190414812
10/17/2016,148551.190414812
10/24/2016,148551.190414812
10/31/2016,148551.190414812
11/07/2016,148551.190414812
11/14/2016,148551.190414812
11/21/2016,148551.190414812
11/28/2016,148551.190414812
12/05/2016,148551.190414812
12/12/2016,148551.190414812
12/19/2016,148551.190414812
12/26/2016,148551.190414812
01/02/2017,169464.872130738
01/09/2017,169464.872130738
01/16/2017,169464.872130738
01/23/2017,169464.872130738
01/30/2017,169464.872130738
02/06/2017,169464.872130738
02/13/2017,169464.872130738
02/20/2017,169464.872130738
02/27/2017,169464.872130738
03/06/2017,169464.872130738
03/13/2017,169464.872130738
03/20/2017,169464.872130738
03/27/2017,169464.872130738
04/03/2017,157350.832642982
04/10/2017,157350.832642982
04/17/2017,157350.832642982
04/24/2017,157350.832642982
05/01/2017,157350.832642982
05/08/2017,157350.832642982
05/15/2017,157350.832642982
05/22/2017,157350.832642982
05/29/2017,157350.832642982
06/05/2017,157350.832642982
06/12/2017,157350.832642982
06/19/2017,157350.832642982
06/26/2017,157350.832642982
07/03/2017,170899.532469002
07/10/2017,170899.532469002
07/17/2017,170899.532469002
07/24/2017,170899.532469002
07/31/2017,170899.532469002
08/07/2017,170899.532469002
08/14/2017,170899.532469002
08/21/2017,170899.532469002
08/28/2017,170899.532469002
09/04/2017,170899.532469002
09/11/2017,170899.532469002
09/18/2017,170899.532469002
09/25/2017,170899.532469002
10/02/2017,156488.898180962
10/09/2017,156488.898180962
10/16/2017,156488.898180962
10/23/2017,156488.898180962
10/30/2017,156488.898180962
11/06/2017,156488.898180962
11/13/2017,156488.898180962
11/20/2017,156488.898180962
11/27/2017,156488.898180962
12/04/2017,156488.898180962
12/11/2017,156488.898180962
12/18/2017,156488.898180962
12/25/2017,156488.898180962
01/01/2018,189152.601749162
01/08/2018,189152.601749162
01/15/2018,189152.601749162
01/22/2018,189152.601749162
01/29/2018,189152.601749162
02/05/2018,189152.601749162
02/12/2018,189152.601749162
02/19/2018,189152.601749162
02/26/2018,189152.601749162
03/05/2018,189152.601749162
03/12/2018,189152.601749162
03/19/2018,189152.601749162
03/26/2018,189152.601749162
04/02/2018,171998.608344388
04/09/2018,171998.608344388
04/16/2018,171998.608344388
04/23/2018,171998.608344388
04/30/2018,171998.608344388
05/07/2018,171998.608344388
05/14/2018,171998.608344388
05/21/2018,171998.608344388
05/28/2018,171998.608344388
06/04/2018,171998.608344388
06/11/2018,171998.608344388
06/18/2018,171998.608344388
06/25/2018,171998.608344388
07/02/2018,185410.371454746
07/09/2018,185410.371454746
07/16/2018,185410.371454746
07/23/2018,185410.371454746
07/30/2018,185410.371454746
08/06/2018,185410.371454746
08/13/2018,185410.371454746
08/20/2018,185410.371454746
08/27/2018,185410.371454746
09/03/2018,185410.371454746
09/10/2018,185410.371454746
09/17/2018,185410.371454746
09/24/2018,185410.371454746
10/01/2018,153170.566714907
10/08/2018,153170.566714907
10/15/2018,153170.566714907
10/22/2018,153170.566714907
10/29/2018,153170.566714907
11/05/2018,153170.566714907
11/12/2018,153170.566714907
11/19/2018,153170.566714907
11/26/2018,153170.566714907
12/03/2018,153170.566714907
12/10/2018,153170.566714907
12/17/2018,153170.566714907
12/24/2018,153170.566714907
12/31/2018,153170.566714907
01/07/2019,211849.040391093
01/14/2019,211849.040391093
01/21/2019,211849.040391093
01/28/2019,211849.040391093
02/04/2019,211849.040391093
02/11/2019,211849.040391093
02/18/2019,211849.040391093
02/25/2019,211849.040391093
03/04/2019,211849.040391093
03/11/2019,211849.040391093
03/18/2019,211849.040391093
03/25/2019,211849.040391093
04/01/2019,185191.247149182
04/08/2019,185191.247149182
