,Refined Products: Demand: Local Sales: Auto Diesel: Annual
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Metric Ton th
Source,Central Bank of Sri Lanka
Status,Active
Series ID,30772901 (LBKFB)
SR Code,SR854639
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/05/1987
Last Obs. Date,12/26/2022
Last Update Time,27/04/2023
Series remarks,
Suggestions,
Mean,27.93827209797656
Variance,113.19580828107763
Standard Deviation,10.639351873167728
Skewness,-0.6610701700814028
Kurtosis,-1.0174332292093504
Coefficient Variation,0.38081638820957314
Min,9.299057692307692
Max,42.19230769230769
Median,36.34615384615385
Sum,
Subtract,
01/20/1997,24.9038461538462
01/27/1997,24.9038461538462
02/03/1997,24.9038461538462
02/10/1997,24.9038461538462
02/17/1997,24.9038461538462
02/24/1997,24.9038461538462
03/03/1997,24.9038461538462
03/10/1997,24.9038461538462
03/17/1997,24.9038461538462
03/24/1997,24.9038461538462
03/31/1997,24.9038461538462
04/07/1997,24.9038461538462
04/14/1997,24.9038461538462
04/21/1997,24.9038461538462
04/28/1997,24.9038461538462
05/05/1997,24.9038461538462
05/12/1997,24.9038461538462
05/19/1997,24.9038461538462
05/26/1997,24.9038461538462
06/02/1997,24.9038461538462
06/09/1997,24.9038461538462
06/16/1997,24.9038461538462
06/23/1997,24.9038461538462
06/30/1997,24.9038461538462
07/07/1997,24.9038461538462
07/14/1997,24.9038461538462
07/21/1997,24.9038461538462
07/28/1997,24.9038461538462
08/04/1997,24.9038461538462
08/11/1997,24.9038461538462
08/18/1997,24.9038461538462
08/25/1997,24.9038461538462
09/01/1997,24.9038461538462
09/08/1997,24.9038461538462
09/15/1997,24.9038461538462
09/22/1997,24.9038461538462
09/29/1997,24.9038461538462
10/06/1997,24.9038461538462
10/13/1997,24.9038461538462
10/20/1997,24.9038461538462
10/27/1997,24.9038461538462
11/03/1997,24.9038461538462
11/10/1997,24.9038461538462
11/17/1997,24.9038461538462
11/24/1997,24.9038461538462
12/01/1997,24.9038461538462
12/08/1997,24.9038461538462
12/15/1997,24.9038461538462
12/22/1997,24.9038461538462
12/29/1997,24.9038461538462
01/05/1998,23.5384615384615
01/12/1998,23.5384615384615
01/19/1998,23.5384615384615
01/26/1998,23.5384615384615
02/02/1998,23.5384615384615
02/09/1998,23.5384615384615
02/16/1998,23.5384615384615
02/23/1998,23.5384615384615
03/02/1998,23.5384615384615
03/09/1998,23.5384615384615
03/16/1998,23.5384615384615
03/23/1998,23.5384615384615
03/30/1998,23.5384615384615
04/06/1998,23.5384615384615
04/13/1998,23.5384615384615
04/20/1998,23.5384615384615
